N°Obs,incidence,Segment de marché,Niveau de prix
Pablo,5,premium / luxe abordable,Haut
PACO RABANNE,10,luxe & création,
Pain de sucre,0,premium / luxe abordable,Haut
Pantashop (Gpmt d'indépendants),0,entrée de gamme / mass market,Moyen-Bas
Parfois,0,entrée de gamme / mass market,Moyen-Bas
Passionata,0,entrée de gamme / mass market,Moyen-Bas
PATOU,2,luxe & création,
Paul Smith,83,premium / luxe abordable,Haut
PAULE KA,2,luxe & création,
Pepe Jeans,164,premium / luxe abordable,Haut
Petit Bateau,0,entrée de gamme / mass market,Moyen
Petites (Les),0,milieu de gamme,Moyen-haut
Les Petites,11,milieu de gamme,Moyen-haut
Phildar,0,entrée de gamme / mass market,Moyen-Bas
PIERRE CARDIN,24,luxe & création,
Pimkie,16,entrée de gamme / mass market,Bas
Pinko,352,milieu de gamme,Moyen-Haut
Point Mariage,0,entrée de gamme / mass market,Moyen-Bas
Moncler,17,luxe & création,Luxe
Prada,464,luxe & création,Luxe
PrettyLittleThing,0,ultra fast fashion / discount,
Primark,0,ultra fast fashion / discount,Discount
Princesse Tam.Tam,0,milieu de gamme,Moyen-Haut
Promise,0,entrée de gamme / mass market,Moyen
Promod,7,entrée de gamme / mass market,Bas
Pronuptia Paris,0,milieu de gamme,Moyen-Haut
Pull & Bear,132,entrée de gamme / mass market,Bas
Pullin,0,premium / luxe abordable,Haut
Punt Roma,0,milieu de gamme,Moyen-Haut
Quiksilver - Billabong - Roxy,0,milieu de gamme,Moyen-Haut
Ralph Lauren,248,premium / luxe abordable,Haut
Polo Ralph Lauren,292,premium / luxe abordable,Haut
Repetto,0,premium / luxe abordable,Haut
RICK OWENS,41,luxe & création,
Riu Paris,0,entrée de gamme / mass market,Moyen-Bas
ROCHAS,0,luxe & création,
Rougegorge,0,entrée de gamme / mass market,Moyen-Bas
Rougegorge Lingerie,0,entrée de gamme / mass market,Moyen-Bas
S2 Sneakers,0,entrée de gamme / mass market,Moyen
SACAI,5,luxe & création,
Saint James,2,premium / luxe abordable,Haut
Saint Laurent,944,luxe & création,Luxe
Salamander,0,milieu de gamme,Moyen-Haut
Salvatore Ferragamo,8,luxe & création,Luxe
San Marina,0,entrée de gamme / mass market,Moyen
Sandro,370,premium / luxe abordable,Haut
Scotch & Soda,105,milieu de gamme,Moyen-Haut
Scottage,0,entrée de gamme / mass market,Moyen
Serge Blanco,1,milieu de gamme,Moyen-Haut
Sergent Major,0,milieu de gamme,Moyen-Haut
Sézane - Octobre,0,milieu de gamme,Moyen-Haut
Shein,0,ultra fast fashion / discount,
SHIATZY CHEN,0,luxe & création,
Simone Pérèle,0,premium / luxe abordable,Haut
Skechers,0,entrée de gamme / mass market,Moyen
Slip français,0,milieu de gamme,Moyen-Haut
Le Slip français,0,milieu de gamme,Moyen-Haut
Soeur,10,milieu de gamme,Moyen-Haut
Sonia Rykiel,31,luxe & création,Luxe
Spartoo,0,entrée de gamme / mass market,Moyen
Sport 2000,0,entrée de gamme / mass market,Moyen
STELLA MCCARTNEY,494,luxe & création,
Stokomani,0,ultra fast fashion / discount,Discount
Stradivarius,80,milieu de gamme,Moyen-Haut
Sud Express,7,entrée de gamme / mass market,Moyen
Superdry,26,entrée de gamme / mass market,Moyen
Sym,0,entrée de gamme / mass market,Moyen
Tally Weijl,45,entrée de gamme / mass market,Moyen-Bas
Tamaris,0,entrée de gamme / mass market,Moyen-Bas
Tanneur (Le),0,milieu de gamme,Moyen-Haut
Le Tanneur,0,milieu de gamme,Moyen-Haut
TAPE A L'OEIL,0,entrée de gamme / mass market,Bas
Tara Jarmon,9,premium / luxe abordable,Haut
Tati,0,ultra fast fashion / discount,Discount
Tbs,0,milieu de gamme,Moyen-Haut
Le Temps Des Cerises,48,entrée de gamme / mass market,Moyen
Temps Des Cerises,0,entrée de gamme / mass market,Moyen
Territoire D'Homme,0,milieu de gamme,Moyen-Haut
Texto,0,entrée de gamme / mass market,Moyen-Bas
The Kooples,276,premium / luxe abordable,Haut
THOM BROWNE,3,luxe & création,
Tod's France,0,luxe & création,Luxe
Tommy Hilfiger,501,milieu de gamme,Moyen-Haut
Toscane,0,entrée de gamme / mass market,Moyen-Bas
Triumph,0,entrée de gamme / mass market,Moyen
TSUMORI CHISATO,12,luxe & création,
Un Jour Ailleurs,2,milieu de gamme,Moyen-Haut
UNDERCOVER,29,luxe & création,
Undiz,0,entrée de gamme / mass market,Bas
Uniqlo,61,entrée de gamme / mass market,Moyen
Valège,0,entrée de gamme / mass market,Bas
VALENTIN YUDASHKIN,0,luxe & création,
VALENTINO,278,luxe & création,
Vans,8,entrée de gamme / mass market,Moyen
VERONIQUE LEROY,0,luxe & création,
Vert Baudet,0,entrée de gamme / mass market,Moyen
VICTORIA TOMAS,0,luxe & création,
Vieux Campeur ,0,milieu de gamme,Moyen-Haut
Au Vieux Campeur,0,milieu de gamme,Moyen-Haut
Vilebrequin,1,premium / luxe abordable,Haut
VIVIENNE WESTWOOD,59,luxe & création,
Weill,0,premium / luxe abordable,Haut
Wolford,0,premium / luxe abordable,Haut
WOOYOUNGMI,0,luxe & création,
X And O,0,entrée de gamme / mass market,Moyen
Y/PROJECT,24,luxe & création,
YANG LI,0,luxe & création,
Yoga Searcher,0,milieu de gamme,Moyen-Haut
YOHJI YAMAMOTO,8,luxe & création,
Ysé,0,milieu de gamme,Moyen-Haut
YVES SAINT LAURENT,107,luxe & création,
Z,30,entrée de gamme / mass market,Bas
Zadig & Voltaire,223,premium / luxe abordable,Haut
Zapa,21,premium / luxe abordable,Haut
Zara,1472,entrée de gamme / mass market,Moyen
Zeeman,0,ultra fast fashion / discount,Discount
