N°Obs,incidence,Segment de marché,Niveau de prix
Furla,0,premium / luxe abordable,Haut
Fusalp,32,premium / luxe abordable,Premium
Gant,0,premium / luxe abordable,Haut
Gap,0,entrée de gamme / mass market,Moyen
Gémo,0,entrée de gamme / mass market,Bas
Geox,0,milieu de gamme,Moyen-Haut
Gerard Darel,18,premium / luxe abordable,Haut
GIAMBATTISTA VALLI,4,luxe & création,
Gucci,162,luxe & création,Luxe
Givenchy,63,luxe & création,Luxe
Go Sport,0,entrée de gamme / mass market,Bas
Grain De Malice,0,entrée de gamme / mass market,Bas
GRES,1,luxe & création,
G-Star Raw,3,milieu de gamme,Moyen-Haut
J.M. Weston,0,luxe & création,Luxe
Guess,5,milieu de gamme,Moyen-Haut
GUY LAROCHE,15,luxe & création,
H&M,18,entrée de gamme / mass market,Bas
HAIDER ACKERMANN,6,luxe & création,
Halle,0,entrée de gamme / mass market,Bas
La Halle,0,entrée de gamme / mass market,Bas
HENRIK VIBSKOV,13,luxe & création,
Hermès,25,luxe & création,Luxe
Heyraud,0,milieu de gamme,Moyen-Haut
Hollister,88,entrée de gamme / mass market,Moyen-Bas
Hugo Boss,80,premium / luxe abordable,Haut
Hunkemöller,2,entrée de gamme / mass market,Moyen-Bas
I.Code,0,entrée de gamme / mass market,Moyen
Ikks,0,milieu de gamme,Moyen-Haut
Indies,0,premium / luxe abordable,Haut
Intersport,0,entrée de gamme / mass market,Moyen-Bas
Intimissimi,17,entrée de gamme / mass market,Moyen-Bas
Iro,13,premium / luxe abordable,Haut
Isabel Marant,12,luxe & création,Premium Luxury
ISSEY MIYAKE,6,luxe & création,
Izac,0,entrée de gamme / mass market,Moyen
Jimmy Choo,1,luxe & création,Luxe
Jacadi,0,milieu de gamme,Moyen-Haut
Jack & Jones,2,entrée de gamme / mass market,Bas
JACQUEMUS,5,luxe & création,
Janine Robin,0,milieu de gamme,Moyen-Haut
Jd - Size?,0,milieu de gamme,Moyen-Haut
JEAN-CLAUDE JITROIS,0,luxe & création,
Jennyfer,27,entrée de gamme / mass market,Bas
Joseph,34,luxe & création,Luxe
JOHN GALLIANO,10,luxe & création,
JOHN RIBBE,0,luxe & création,
Jonak,0,entrée de gamme / mass market,Moyen
Loro Piana,28,luxe & création,Luxe
Jott,0,milieu de gamme,Moyen-Haut
Jules,0,entrée de gamme / mass market,Moyen-Bas
JUNKO SHIMADA,10,luxe & création,
JUUN.J,0,luxe & création,
Kaporal,29,entrée de gamme / mass market,Moyen
Karl Marc John,19,entrée de gamme / mass market,Moyen
Kenzo,46,premium / luxe abordable,Haut
Khaan,0,entrée de gamme / mass market,Bas
Kiabi,0,entrée de gamme / mass market,Bas
Kiwi,0,premium / luxe abordable,Haut
KOCHE,0,luxe & création,
Kookai,3,entrée de gamme / mass market,Moyen-Bas
Lacoste,5,premium / luxe abordable,Haut
Eider,14,milieu de gamme,Moyen-Haut
Millet,0,milieu de gamme,Moyen-Haut
Lafuma,0,milieu de gamme,Moyen-Haut
Lancel,6,premium / luxe abordable,Haut
LANVIN,43,luxe & création,
Laurence Tavernier,1,premium / luxe abordable,Haut
Le Bourget,0,premium / luxe abordable,Haut
LEMAIRE,2,luxe & création,
Leonard,5,luxe & création,Luxe
Levi's,0,milieu de gamme,Moyen-Haut
Levis,0,milieu de gamme,Moyen-Haut
Levi's Store,0,milieu de gamme,Moyen-Haut
Ligne'S,0,entrée de gamme / mass market,Moyen
Liu Jo,0,milieu de gamme,Moyen-Haut
Livy,0,premium / luxe abordable,Haut
Loavies,1,entrée de gamme / mass market,
Loding,0,milieu de gamme,Moyen-Haut
LOEWE,8,luxe & création,
Lolë,0,entrée de gamme / mass market,Moyen
Lollipops,0,milieu de gamme,Moyen-Haut
Longchamp,1,premium / luxe abordable,Haut
Louboutin,0,luxe & création,Luxe
Louis Vuitton,32,luxe & création,Luxe
LPB Woman,0,entrée de gamme / mass market,Moyen
LUCIEN PELLAT-FINET,20,luxe & création,
LUTZ POLUX,0,luxe & création,
Mado et les Autres,0,milieu de gamme,Moyen-Haut
Maison 123,89,entrée de gamme / mass market,Moyen
Maison Lejaby,0,premium / luxe abordable,Haut
MAISON MARGIELA,17,luxe & création,
MAISON RABIH KAYROUZ,1,luxe & création,
Maje,18,premium / luxe abordable,Haut
Majestic Filatures,55,milieu de gamme,Moyen-Haut
Manfield - Fairmount,0,milieu de gamme,Moyen-Haut
Mango,29,entrée de gamme / mass market,Moyen-Bas
MANISH ARORA THREE CLOTHING,0,luxe & création,
Marina Rinaldi - Persona,0,premium / luxe abordable,Haut
MARINE SERRE,3,luxe & création,
Massimo Dutti,28,milieu de gamme,Moyen-Haut
Max Mara,153,premium / luxe abordable,Haut
Mellow Yellow,1,milieu de gamme,Moyen-Haut
Mephisto Shop,0,milieu de gamme,Moyen-Haut
Michael Kors,13,premium / luxe abordable,Haut
MIHARAYASUHIRO,0,luxe & création,
Minelli,2,milieu de gamme,Moyen-Haut
Mise au Green,4,milieu de gamme,Moyen-Haut
Missguided,0,ultra fast fashion / discount,
Mistigriff,0,ultra fast fashion / discount,Discount
Miu Miu,18,luxe & création,Luxe
Morgan,3,entrée de gamme / mass market,Moyen
Ms Mode,2,entrée de gamme / mass market,Moyen-Bas
MUGLER,19,luxe & création,
Naf Naf,5,entrée de gamme / mass market,Moyen-Bas
Napapijri,7,milieu de gamme,Moyen-Haut
Nasty Gal,16,ultra fast fashion / discount,
New Look,0,entrée de gamme / mass market,Bas
New Yorker,7,entrée de gamme / mass market,Bas
Newco (Ex Styleco),0,entrée de gamme / mass market,Bas
Nice Things,12,entrée de gamme / mass market,Moyen
Converse,38,milieu de gamme,Moyen-Haut
Nike,37,milieu de gamme,Moyen-Haut
NINA RICCI,15,luxe & création,
Novmod (Ex Defi-Mode),0,ultra fast fashion / discount,Discount
OAMC,32,luxe & création,
Odlo,0,milieu de gamme,Moyen-Haut
OFFICINE GENERALE,1,luxe & création,
Okaïdi,0,entrée de gamme / mass market,Moyen
Oliver Grant,0,milieu de gamme,Moyen-Haut
Ollygan,0,entrée de gamme / mass market,Moyen
One Step,1,entrée de gamme / mass market,Moyen
Orcanta,0,milieu de gamme,Moyen-Haut
Orchestra,0,entrée de gamme / mass market,Bas
Oxbow,3,entrée de gamme / mass market,Moyen
Oysho,1,entrée de gamme / mass market,Moyen-Bas
Pablo,0,premium / luxe abordable,Haut
PACO RABANNE,3,luxe & création,
Pain de sucre,0,premium / luxe abordable,Haut
Pantashop (Gpmt d'indépendants),0,entrée de gamme / mass market,Moyen-Bas
Parfois,1,entrée de gamme / mass market,Moyen-Bas
Passionata,0,entrée de gamme / mass market,Moyen-Bas
PATOU,0,luxe & création,
Paul Smith,49,premium / luxe abordable,Haut
PAULE KA,8,luxe & création,
Pepe Jeans,166,premium / luxe abordable,Haut
Petit Bateau,14,entrée de gamme / mass market,Moyen
Petites (Les),0,milieu de gamme,Moyen-haut
Les Petites,77,milieu de gamme,Moyen-haut
Phildar,0,entrée de gamme / mass market,Moyen-Bas
PIERRE CARDIN,20,luxe & création,
Pimkie,46,entrée de gamme / mass market,Bas
Pinko,40,milieu de gamme,Moyen-Haut
Point Mariage,0,entrée de gamme / mass market,Moyen-Bas
Moncler,53,luxe & création,Luxe
Prada,107,luxe & création,Luxe
PrettyLittleThing,0,ultra fast fashion / discount,
Primark,0,ultra fast fashion / discount,Discount
Princesse Tam.Tam,0,milieu de gamme,Moyen-Haut
Promise,0,entrée de gamme / mass market,Moyen
Promod,66,entrée de gamme / mass market,Bas
Pronuptia Paris,0,milieu de gamme,Moyen-Haut
Pull & Bear,1,entrée de gamme / mass market,Bas
Pullin,0,premium / luxe abordable,Haut
Punt Roma,0,milieu de gamme,Moyen-Haut
Quiksilver - Billabong - Roxy,0,milieu de gamme,Moyen-Haut
Ralph Lauren,22,premium / luxe abordable,Haut
Polo Ralph Lauren,23,premium / luxe abordable,Haut
Repetto,2,premium / luxe abordable,Haut
RICK OWENS,12,luxe & création,
Riu Paris,0,entrée de gamme / mass market,Moyen-Bas
ROCHAS,4,luxe & création,
Rougegorge,0,entrée de gamme / mass market,Moyen-Bas
Rougegorge Lingerie,0,entrée de gamme / mass market,Moyen-Bas
S2 Sneakers,0,entrée de gamme / mass market,Moyen
SACAI,0,luxe & création,
Saint James,9,premium / luxe abordable,Haut
Saint Laurent,45,luxe & création,Luxe
Salamander,0,milieu de gamme,Moyen-Haut
Salvatore Ferragamo,20,luxe & création,Luxe
San Marina,0,entrée de gamme / mass market,Moyen
Sandro,25,premium / luxe abordable,Haut
Scotch & Soda,12,milieu de gamme,Moyen-Haut
Scottage,0,entrée de gamme / mass market,Moyen
Serge Blanco,11,milieu de gamme,Moyen-Haut
Sergent Major,0,milieu de gamme,Moyen-Haut
Sézane - Octobre,0,milieu de gamme,Moyen-Haut
Shein,0,ultra fast fashion / discount,
SHIATZY CHEN,9,luxe & création,
Simone Pérèle,0,premium / luxe abordable,Haut
Skechers,1,entrée de gamme / mass market,Moyen
Slip français,0,milieu de gamme,Moyen-Haut
Le Slip français,0,milieu de gamme,Moyen-Haut
Soeur,39,milieu de gamme,Moyen-Haut
Sonia Rykiel,19,luxe & création,Luxe
Spartoo,0,entrée de gamme / mass market,Moyen
Sport 2000,0,entrée de gamme / mass market,Moyen
STELLA MCCARTNEY,29,luxe & création,
Stokomani,0,ultra fast fashion / discount,Discount
Stradivarius,185,milieu de gamme,Moyen-Haut
Sud Express,1,entrée de gamme / mass market,Moyen
Superdry,1,entrée de gamme / mass market,Moyen
Sym,0,entrée de gamme / mass market,Moyen
Tally Weijl,41,entrée de gamme / mass market,Moyen-Bas
Tamaris,0,entrée de gamme / mass market,Moyen-Bas
Tanneur (Le),0,milieu de gamme,Moyen-Haut
Le Tanneur,1,milieu de gamme,Moyen-Haut
TAPE A L'OEIL,0,entrée de gamme / mass market,Bas
Tara Jarmon,10,premium / luxe abordable,Haut
Tati,0,ultra fast fashion / discount,Discount
Tbs,0,milieu de gamme,Moyen-Haut
Le Temps Des Cerises,1,entrée de gamme / mass market,Moyen
Temps Des Cerises,0,entrée de gamme / mass market,Moyen
Territoire D'Homme,0,milieu de gamme,Moyen-Haut
Texto,0,entrée de gamme / mass market,Moyen-Bas
The Kooples,61,premium / luxe abordable,Haut
THOM BROWNE,6,luxe & création,
Tod's France,0,luxe & création,Luxe
Tommy Hilfiger,22,milieu de gamme,Moyen-Haut
Toscane,2,entrée de gamme / mass market,Moyen-Bas
Triumph,0,entrée de gamme / mass market,Moyen
TSUMORI CHISATO,44,luxe & création,
Un Jour Ailleurs,1,milieu de gamme,Moyen-Haut
UNDERCOVER,2,luxe & création,
Undiz,0,entrée de gamme / mass market,Bas
Uniqlo,2,entrée de gamme / mass market,Moyen
Valège,0,entrée de gamme / mass market,Bas
VALENTIN YUDASHKIN,3,luxe & création,
VALENTINO,150,luxe & création,
Vans,0,entrée de gamme / mass market,Moyen
VERONIQUE LEROY,16,luxe & création,
Vert Baudet,0,entrée de gamme / mass market,Moyen
VICTORIA TOMAS,0,luxe & création,
Vieux Campeur ,0,milieu de gamme,Moyen-Haut
Au Vieux Campeur,0,milieu de gamme,Moyen-Haut
Vilebrequin,8,premium / luxe abordable,Haut
VIVIENNE WESTWOOD,12,luxe & création,
Weill,1,premium / luxe abordable,Haut
Wolford,14,premium / luxe abordable,Haut
WOOYOUNGMI,2,luxe & création,
X And O,0,entrée de gamme / mass market,Moyen
Y/PROJECT,33,luxe & création,
YANG LI,2,luxe & création,
Yoga Searcher,0,milieu de gamme,Moyen-Haut
YOHJI YAMAMOTO,16,luxe & création,
Ysé,0,milieu de gamme,Moyen-Haut
YVES SAINT LAURENT,132,luxe & création,
Z,0,entrée de gamme / mass market,Bas
Zadig & Voltaire,11,premium / luxe abordable,Haut
Zapa,3,premium / luxe abordable,Haut
Zara,93,entrée de gamme / mass market,Moyen
Zeeman,0,ultra fast fashion / discount,Discount
