N°Obs,incidence,Segment de marché,Niveau de prix
Sézane - Octobre,0,milieu de gamme,Moyen-Haut
Shein,0,ultra fast fashion / discount,
SHIATZY CHEN,9,luxe & création,
Simone Pérèle,2,premium / luxe abordable,Haut
Skechers,0,entrée de gamme / mass market,Moyen
Slip français,0,milieu de gamme,Moyen-Haut
Le Slip français,0,milieu de gamme,Moyen-Haut
Soeur,2,milieu de gamme,Moyen-Haut
Sonia Rykiel,39,luxe & création,Luxe
Spartoo,0,entrée de gamme / mass market,Moyen
Sport 2000,0,entrée de gamme / mass market,Moyen
STELLA MCCARTNEY,160,luxe & création,
Stokomani,0,ultra fast fashion / discount,Discount
Stradivarius,23,milieu de gamme,Moyen-Haut
Sud Express,1,entrée de gamme / mass market,Moyen
Superdry,71,entrée de gamme / mass market,Moyen
Sym,0,entrée de gamme / mass market,Moyen
Tally Weijl,17,entrée de gamme / mass market,Moyen-Bas
Tamaris,1,entrée de gamme / mass market,Moyen-Bas
Tanneur (Le),0,milieu de gamme,Moyen-Haut
Le Tanneur,0,milieu de gamme,Moyen-Haut
TAPE A L'OEIL,0,entrée de gamme / mass market,Bas
Tara Jarmon,6,premium / luxe abordable,Haut
Tati,0,ultra fast fashion / discount,Discount
Tbs,0,milieu de gamme,Moyen-Haut
Le Temps Des Cerises,4,entrée de gamme / mass market,Moyen
Temps Des Cerises,0,entrée de gamme / mass market,Moyen
Territoire D'Homme,0,milieu de gamme,Moyen-Haut
Texto,0,entrée de gamme / mass market,Moyen-Bas
The Kooples,104,premium / luxe abordable,Haut
THOM BROWNE,16,luxe & création,
Tod's France,0,luxe & création,Luxe
Tommy Hilfiger,320,milieu de gamme,Moyen-Haut
Toscane,2,entrée de gamme / mass market,Moyen-Bas
Triumph,1,entrée de gamme / mass market,Moyen
TSUMORI CHISATO,19,luxe & création,
Un Jour Ailleurs,1,milieu de gamme,Moyen-Haut
UNDERCOVER,70,luxe & création,
Undiz,0,entrée de gamme / mass market,Bas
Uniqlo,62,entrée de gamme / mass market,Moyen
Valège,0,entrée de gamme / mass market,Bas
VALENTIN YUDASHKIN,0,luxe & création,
VALENTINO,344,luxe & création,
Vans,62,entrée de gamme / mass market,Moyen
VERONIQUE LEROY,8,luxe & création,
Vert Baudet,0,entrée de gamme / mass market,Moyen
VICTORIA TOMAS,3,luxe & création,
Vieux Campeur ,0,milieu de gamme,Moyen-Haut
Au Vieux Campeur,0,milieu de gamme,Moyen-Haut
Vilebrequin,6,premium / luxe abordable,Haut
VIVIENNE WESTWOOD,104,luxe & création,
Weill,0,premium / luxe abordable,Haut
Wolford,25,premium / luxe abordable,Haut
WOOYOUNGMI,1,luxe & création,
X And O,0,entrée de gamme / mass market,Moyen
Y/PROJECT,8,luxe & création,
YANG LI,6,luxe & création,
Yoga Searcher,0,milieu de gamme,Moyen-Haut
YOHJI YAMAMOTO,28,luxe & création,
Ysé,0,milieu de gamme,Moyen-Haut
YVES SAINT LAURENT,127,luxe & création,
Z,19,entrée de gamme / mass market,Bas
Zadig & Voltaire,226,premium / luxe abordable,Haut
Zapa,3,premium / luxe abordable,Haut
Zara,509,entrée de gamme / mass market,Moyen
Zeeman,0,ultra fast fashion / discount,Discount
