N°Obs,incidence,Segment de marché,Niveau de prix
VIVIENNE WESTWOOD,27,luxe & création,
Weill,1,premium / luxe abordable,Haut
Wolford,0,premium / luxe abordable,Haut
WOOYOUNGMI,2,luxe & création,
X And O,0,entrée de gamme / mass market,Moyen
Y/PROJECT,0,luxe & création,
YANG LI,0,luxe & création,
Yoga Searcher,0,milieu de gamme,Moyen-Haut
YOHJI YAMAMOTO,83,luxe & création,
Ysé,0,milieu de gamme,Moyen-Haut
YVES SAINT LAURENT,98,luxe & création,
Z,17,entrée de gamme / mass market,Bas
Zadig & Voltaire,142,premium / luxe abordable,Haut
Zapa,0,premium / luxe abordable,Haut
Zara,211,entrée de gamme / mass market,Moyen
Zeeman,0,ultra fast fashion / discount,Discount
