N°Obs,incidence,global_incidence,Segment de marché,Niveau de prix
letempsdescerises,3000,603857,entrée de gamme / mass market,Moyen
tempsdescerises,0,0,entrée de gamme / mass market,Moyen
territoired'homme,0,0,milieu de gamme,Moyen-Haut
texto,2832,0,entrée de gamme / mass market,Moyen-Bas
thekooples,1536,0,premium / luxe abordable,Haut
thombrowne,17,0,luxe & création,
tod'sfrance,0,0,luxe & création,Luxe
tommyhilfiger,3000,3954048,milieu de gamme,Moyen-Haut
toscane,3,0,entrée de gamme / mass market,Moyen-Bas
triumph,0,0,entrée de gamme / mass market,Moyen
tsumorichisato,1,0,luxe & création,
unjourailleurs,5,0,milieu de gamme,Moyen-Haut
undercover,58,0,luxe & création,
undiz,6,0,entrée de gamme / mass market,Bas
uniqlo,27,0,entrée de gamme / mass market,Moyen
valege,14,0,entrée de gamme / mass market,Bas
valentinyudashkin,0,0,luxe & création,
valentino,2832,0,luxe & création,
vans,3000,1705069,entrée de gamme / mass market,Moyen
veroniqueleroy,0,0,luxe & création,
vertbaudet,0,0,entrée de gamme / mass market,Moyen
victoriatomas,0,0,luxe & création,
vieuxcampeur,0,0,milieu de gamme,Moyen-Haut
auvieuxcampeur,0,0,milieu de gamme,Moyen-Haut
vilebrequin,0,0,premium / luxe abordable,Haut
viviennewestwood,36,0,luxe & création,
weill,7,0,premium / luxe abordable,Haut
wolford,0,0,premium / luxe abordable,Haut
wooyoungmi,2,0,luxe & création,
xando,0,0,entrée de gamme / mass market,Moyen
y/project,0,0,luxe & création,
yangli,0,0,luxe & création,
yogasearcher,0,0,milieu de gamme,Moyen-Haut
yohjiyamamoto,139,0,luxe & création,
yse,0,0,milieu de gamme,Moyen-Haut
yvessaintlaurent,720,0,luxe & création,
z,4,0,entrée de gamme / mass market,Bas
zadig&voltaire,1824,0,premium / luxe abordable,Haut
zapa,50,0,premium / luxe abordable,Haut
zara,3000,36665314,entrée de gamme / mass market,Moyen
zeeman,66,0,ultra fast fashion / discount,Discount
