N°Obs,incidence,global_incidence,Segment de marché,Niveau de prix
ollygan,0,0,entrée de gamme / mass market,Moyen
onestep,3000,177418,entrée de gamme / mass market,Moyen
orcanta,1,0,milieu de gamme,Moyen-Haut
orchestra,1224,0,entrée de gamme / mass market,Bas
oxbow,1512,0,entrée de gamme / mass market,Moyen
oysho,37,0,entrée de gamme / mass market,Moyen-Bas
pablo,372,0,premium / luxe abordable,Haut
pacorabanne,26,0,luxe & création,
paindesucre,0,0,premium / luxe abordable,Haut
pantashop(gpmtd'independants),0,0,entrée de gamme / mass market,Moyen-Bas
parfois,145,0,entrée de gamme / mass market,Moyen-Bas
passionata,4,0,entrée de gamme / mass market,Moyen-Bas
patou,0,0,luxe & création,
paulsmith,1008,0,premium / luxe abordable,Haut
pauleka,22,0,luxe & création,
pepejeans,3000,961599,premium / luxe abordable,Haut
petitbateau,138,0,entrée de gamme / mass market,Moyen
petites(les),0,0,milieu de gamme,Moyen-haut
lespetites,624,0,milieu de gamme,Moyen-haut
phildar,2400,0,entrée de gamme / mass market,Moyen-Bas
pierrecardin,2352,0,luxe & création,
pimkie,3000,5054540,entrée de gamme / mass market,Bas
pinko,3000,198428,milieu de gamme,Moyen-Haut
pointmariage,1,0,entrée de gamme / mass market,Moyen-Bas
moncler,76,0,luxe & création,Luxe
prada,1464,0,luxe & création,Luxe
prettylittlething,3000,1153981,ultra fast fashion / discount,
primark,3000,8904347,ultra fast fashion / discount,Discount
princessetam.tam,31,0,milieu de gamme,Moyen-Haut
promise,40,0,entrée de gamme / mass market,Moyen
promod,3000,3783716,entrée de gamme / mass market,Bas
pronuptiaparis,0,0,milieu de gamme,Moyen-Haut
pull&bear,3000,4874344,entrée de gamme / mass market,Bas
pullin,552,0,premium / luxe abordable,Haut
puntroma,405,0,milieu de gamme,Moyen-Haut
quiksilver-billabong-roxy,0,0,milieu de gamme,Moyen-Haut
ralphlauren,3000,3853950,premium / luxe abordable,Haut
poloralphlauren,1272,0,premium / luxe abordable,Haut
repetto,2,0,premium / luxe abordable,Haut
rickowens,68,0,luxe & création,
riuparis,16,0,entrée de gamme / mass market,Moyen-Bas
rochas,10,0,luxe & création,
rougegorge,3,0,entrée de gamme / mass market,Moyen-Bas
rougegorgelingerie,0,0,entrée de gamme / mass market,Moyen-Bas
s2sneakers,0,0,entrée de gamme / mass market,Moyen
sacai,2,0,luxe & création,
saintjames,243,0,premium / luxe abordable,Haut
saintlaurent,497,0,luxe & création,Luxe
salamander,1,0,milieu de gamme,Moyen-Haut
salvatoreferragamo,31,0,luxe & création,Luxe
sanmarina,28,0,entrée de gamme / mass market,Moyen
sandro,3000,734120,premium / luxe abordable,Haut
scotch&soda,3000,340023,milieu de gamme,Moyen-Haut
scottage,1224,0,entrée de gamme / mass market,Moyen
sergeblanco,936,0,milieu de gamme,Moyen-Haut
sergentmajor,94,0,milieu de gamme,Moyen-Haut
sezane-octobre,0,0,milieu de gamme,Moyen-Haut
shein,3000,6382095,ultra fast fashion / discount,
shiatzychen,0,0,luxe & création,
simoneperele,1,0,premium / luxe abordable,Haut
skechers,2,0,entrée de gamme / mass market,Moyen
slipfrancais,0,0,milieu de gamme,Moyen-Haut
leslipfrancais,2,0,milieu de gamme,Moyen-Haut
soeur,349,0,milieu de gamme,Moyen-Haut
soniarykiel,263,0,luxe & création,Luxe
spartoo,0,0,entrée de gamme / mass market,Moyen
sport2000,0,0,entrée de gamme / mass market,Moyen
stellamccartney,576,0,luxe & création,
stokomani,0,0,ultra fast fashion / discount,Discount
stradivarius,3000,5972823,milieu de gamme,Moyen-Haut
sudexpress,3000,257582,entrée de gamme / mass market,Moyen
superdry,3000,1510197,entrée de gamme / mass market,Moyen
sym,412,0,entrée de gamme / mass market,Moyen
tallyweijl,3000,1595778,entrée de gamme / mass market,Moyen-Bas
tamaris,4,0,entrée de gamme / mass market,Moyen-Bas
tanneur(le),0,0,milieu de gamme,Moyen-Haut
letanneur,15,0,milieu de gamme,Moyen-Haut
tapeal'oeil,1248,0,entrée de gamme / mass market,Bas
tarajarmon,302,0,premium / luxe abordable,Haut
tati,481,0,ultra fast fashion / discount,Discount
tbs,768,0,milieu de gamme,Moyen-Haut
letempsdescerises,3000,603857,entrée de gamme / mass market,Moyen
tempsdescerises,0,0,entrée de gamme / mass market,Moyen
territoired'homme,0,0,milieu de gamme,Moyen-Haut
texto,137,0,entrée de gamme / mass market,Moyen-Bas
thekooples,3000,320473,premium / luxe abordable,Haut
thombrowne,2,0,luxe & création,
tod'sfrance,0,0,luxe & création,Luxe
tommyhilfiger,3000,3954048,milieu de gamme,Moyen-Haut
toscane,173,0,entrée de gamme / mass market,Moyen-Bas
triumph,9,0,entrée de gamme / mass market,Moyen
tsumorichisato,2,0,luxe & création,
unjourailleurs,648,0,milieu de gamme,Moyen-Haut
undercover,18,0,luxe & création,
undiz,54,0,entrée de gamme / mass market,Bas
uniqlo,3000,326728,entrée de gamme / mass market,Moyen
valege,7,0,entrée de gamme / mass market,Bas
valentinyudashkin,0,0,luxe & création,
valentino,528,0,luxe & création,
vans,1296,0,entrée de gamme / mass market,Moyen
veroniqueleroy,0,0,luxe & création,
vertbaudet,0,0,entrée de gamme / mass market,Moyen
victoriatomas,0,0,luxe & création,
vieuxcampeur,0,0,milieu de gamme,Moyen-Haut
auvieuxcampeur,0,0,milieu de gamme,Moyen-Haut
vilebrequin,2,0,premium / luxe abordable,Haut
viviennewestwood,124,0,luxe & création,
weill,300,0,premium / luxe abordable,Haut
wolford,2,0,premium / luxe abordable,Haut
wooyoungmi,0,0,luxe & création,
xando,0,0,entrée de gamme / mass market,Moyen
y/project,15,0,luxe & création,
yangli,2,0,luxe & création,
yogasearcher,0,0,milieu de gamme,Moyen-Haut
yohjiyamamoto,6,0,luxe & création,
yse,0,0,milieu de gamme,Moyen-Haut
yvessaintlaurent,346,0,luxe & création,
z,45,0,entrée de gamme / mass market,Bas
zadig&voltaire,3000,261117,premium / luxe abordable,Haut
zapa,1392,0,premium / luxe abordable,Haut
zara,3000,36665314,entrée de gamme / mass market,Moyen
zeeman,648,0,ultra fast fashion / discount,Discount
