N°Obs,incidence,global_incidence,Segment de marché,Niveau de prix
h&m,3000,36885936,entrée de gamme / mass market,Bas
haiderackermann,8,0,luxe & création,
halle,0,0,entrée de gamme / mass market,Bas
lahalle,3000,1341542,entrée de gamme / mass market,Bas
henrikvibskov,6,0,luxe & création,
hermes,137,0,luxe & création,Luxe
heyraud,1,0,milieu de gamme,Moyen-Haut
hollister,3000,1750931,entrée de gamme / mass market,Moyen-Bas
hugoboss,3000,863413,premium / luxe abordable,Haut
hunkemoller,624,0,entrée de gamme / mass market,Moyen-Bas
i.code,1704,0,entrée de gamme / mass market,Moyen
ikks,3000,2817710,milieu de gamme,Moyen-Haut
indies,137,0,premium / luxe abordable,Haut
intersport,2280,0,entrée de gamme / mass market,Moyen-Bas
intimissimi,3000,242758,entrée de gamme / mass market,Moyen-Bas
iro,1152,0,premium / luxe abordable,Haut
isabelmarant,864,0,luxe & création,Premium Luxury
isseymiyake,56,0,luxe & création,
izac,362,0,entrée de gamme / mass market,Moyen
jimmychoo,19,0,luxe & création,Luxe
jacadi,99,0,milieu de gamme,Moyen-Haut
jack&jones,3000,875664,entrée de gamme / mass market,Bas
jacquemus,111,0,luxe & création,
janinerobin,15,0,milieu de gamme,Moyen-Haut
jd-size?,0,0,milieu de gamme,Moyen-Haut
jean-claudejitrois,0,0,luxe & création,
jennyfer,3000,4689218,entrée de gamme / mass market,Bas
joseph,272,0,luxe & création,Luxe
johngalliano,744,0,luxe & création,
johnribbe,0,0,luxe & création,
jonak,5,0,entrée de gamme / mass market,Moyen
loropiana,23,0,luxe & création,Luxe
jott,127,0,milieu de gamme,Moyen-Haut
jules,3000,838542,entrée de gamme / mass market,Moyen-Bas
junkoshimada,0,0,luxe & création,
juun.j,19,0,luxe & création,
kaporal,3000,1116664,entrée de gamme / mass market,Moyen
karlmarcjohn,3000,158397,entrée de gamme / mass market,Moyen
kenzo,3000,422077,premium / luxe abordable,Haut
khaan,1416,0,entrée de gamme / mass market,Bas
kiabi,3000,17936022,entrée de gamme / mass market,Bas
kiwi,110,0,premium / luxe abordable,Haut
koche,28,0,luxe & création,
kookai,3000,812799,entrée de gamme / mass market,Moyen-Bas
lacoste,3000,2358163,premium / luxe abordable,Haut
eider,146,0,milieu de gamme,Moyen-Haut
millet,89,0,milieu de gamme,Moyen-Haut
lafuma,246,0,milieu de gamme,Moyen-Haut
lancel,3,0,premium / luxe abordable,Haut
lanvin,342,0,luxe & création,
laurencetavernier,7,0,premium / luxe abordable,Haut
lebourget,221,0,premium / luxe abordable,Haut
lemaire,12,0,luxe & création,
leonard,33,0,luxe & création,Luxe
levi's,3000,5200278,milieu de gamme,Moyen-Haut
levis,0,0,milieu de gamme,Moyen-Haut
levi'sstore,0,0,milieu de gamme,Moyen-Haut
ligne's,0,0,entrée de gamme / mass market,Moyen
liujo,3000,539090,milieu de gamme,Moyen-Haut
livy,4,0,premium / luxe abordable,Haut
loavies,3000,139169,entrée de gamme / mass market,
loding,4,0,milieu de gamme,Moyen-Haut
loewe,121,0,luxe & création,
lole,56,0,entrée de gamme / mass market,Moyen
lollipops,92,0,milieu de gamme,Moyen-Haut
longchamp,150,0,premium / luxe abordable,Haut
louboutin,0,0,luxe & création,Luxe
louisvuitton,399,0,luxe & création,Luxe
lpbwoman,144,0,entrée de gamme / mass market,Moyen
lucienpellat-finet,7,0,luxe & création,
lutzpolux,0,0,luxe & création,
madoetlesautres,1536,0,milieu de gamme,Moyen-Haut
maison123,1176,0,entrée de gamme / mass market,Moyen
maisonlejaby,9,0,premium / luxe abordable,Haut
maisonmargiela,246,0,luxe & création,
maisonrabihkayrouz,0,0,luxe & création,
maje,3000,697996,premium / luxe abordable,Haut
majesticfilatures,277,0,milieu de gamme,Moyen-Haut
manfield-fairmount,0,0,milieu de gamme,Moyen-Haut
mango,3000,7137473,entrée de gamme / mass market,Moyen-Bas
manisharorathreeclothing,0,0,luxe & création,
marinarinaldi-persona,0,0,premium / luxe abordable,Haut
marineserre,38,0,luxe & création,
massimodutti,3000,727502,milieu de gamme,Moyen-Haut
maxmara,1488,0,premium / luxe abordable,Haut
mellowyellow,45,0,milieu de gamme,Moyen-Haut
mephistoshop,0,0,milieu de gamme,Moyen-Haut
michaelkors,1416,0,premium / luxe abordable,Haut
miharayasuhiro,0,0,luxe & création,
minelli,7,0,milieu de gamme,Moyen-Haut
miseaugreen,1272,0,milieu de gamme,Moyen-Haut
missguided,2256,0,ultra fast fashion / discount,
mistigriff,0,0,ultra fast fashion / discount,Discount
miumiu,133,0,luxe & création,Luxe
morgan,3000,1362574,entrée de gamme / mass market,Moyen
msmode,0,0,entrée de gamme / mass market,Moyen-Bas
mugler,35,0,luxe & création,
nafnaf,3000,2107595,entrée de gamme / mass market,Moyen-Bas
napapijri,3000,389356,milieu de gamme,Moyen-Haut
nastygal,441,0,ultra fast fashion / discount,
newlook,3000,3146534,entrée de gamme / mass market,Bas
newyorker,3000,1069181,entrée de gamme / mass market,Bas
newco(exstyleco),0,0,entrée de gamme / mass market,Bas
nicethings,600,0,entrée de gamme / mass market,Moyen
converse,3000,1436756,milieu de gamme,Moyen-Haut
nike,3000,15369524,milieu de gamme,Moyen-Haut
ninaricci,107,0,luxe & création,
novmod(exdefi-mode),0,0,ultra fast fashion / discount,Discount
oamc,0,0,luxe & création,
odlo,157,0,milieu de gamme,Moyen-Haut
officinegenerale,7,0,luxe & création,
okaidi,984,0,entrée de gamme / mass market,Moyen
olivergrant,94,0,milieu de gamme,Moyen-Haut
ollygan,0,0,entrée de gamme / mass market,Moyen
onestep,3000,177418,entrée de gamme / mass market,Moyen
orcanta,96,0,milieu de gamme,Moyen-Haut
orchestra,1416,0,entrée de gamme / mass market,Bas
oxbow,3000,219830,entrée de gamme / mass market,Moyen
oysho,3000,280206,entrée de gamme / mass market,Moyen-Bas
pablo,768,0,premium / luxe abordable,Haut
pacorabanne,149,0,luxe & création,
paindesucre,65,0,premium / luxe abordable,Haut
pantashop(gpmtd'independants),0,0,entrée de gamme / mass market,Moyen-Bas
parfois,696,0,entrée de gamme / mass market,Moyen-Bas
passionata,98,0,entrée de gamme / mass market,Moyen-Bas
patou,15,0,luxe & création,
paulsmith,1488,0,premium / luxe abordable,Haut
pauleka,181,0,luxe & création,
pepejeans,3000,961599,premium / luxe abordable,Haut
petitbateau,3000,3394510,entrée de gamme / mass market,Moyen
petites(les),0,0,milieu de gamme,Moyen-haut
lespetites,576,0,milieu de gamme,Moyen-haut
phildar,3000,150243,entrée de gamme / mass market,Moyen-Bas
pierrecardin,2304,0,luxe & création,
pimkie,3000,5054540,entrée de gamme / mass market,Bas
pinko,3000,198428,milieu de gamme,Moyen-Haut
pointmariage,0,0,entrée de gamme / mass market,Moyen-Bas
moncler,1632,0,luxe & création,Luxe
prada,816,0,luxe & création,Luxe
prettylittlething,3000,1153981,ultra fast fashion / discount,
primark,3000,8904347,ultra fast fashion / discount,Discount
princessetam.tam,864,0,milieu de gamme,Moyen-Haut
promise,123,0,entrée de gamme / mass market,Moyen
promod,3000,3783716,entrée de gamme / mass market,Bas
pronuptiaparis,0,0,milieu de gamme,Moyen-Haut
pull&bear,3000,4874344,entrée de gamme / mass market,Bas
pullin,792,0,premium / luxe abordable,Haut
puntroma,1992,0,milieu de gamme,Moyen-Haut
quiksilver-billabong-roxy,0,0,milieu de gamme,Moyen-Haut
ralphlauren,3000,3853950,premium / luxe abordable,Haut
poloralphlauren,3000,216562,premium / luxe abordable,Haut
repetto,118,0,premium / luxe abordable,Haut
rickowens,87,0,luxe & création,
riuparis,67,0,entrée de gamme / mass market,Moyen-Bas
rochas,26,0,luxe & création,
rougegorge,181,0,entrée de gamme / mass market,Moyen-Bas
rougegorgelingerie,0,0,entrée de gamme / mass market,Moyen-Bas
s2sneakers,0,0,entrée de gamme / mass market,Moyen
sacai,19,0,luxe & création,
saintjames,1224,0,premium / luxe abordable,Haut
saintlaurent,552,0,luxe & création,Luxe
salamander,4,0,milieu de gamme,Moyen-Haut
salvatoreferragamo,80,0,luxe & création,Luxe
sanmarina,43,0,entrée de gamme / mass market,Moyen
sandro,3000,734120,premium / luxe abordable,Haut
scotch&soda,3000,340023,milieu de gamme,Moyen-Haut
scottage,3000,51873,entrée de gamme / mass market,Moyen
sergeblanco,1128,0,milieu de gamme,Moyen-Haut
sergentmajor,159,0,milieu de gamme,Moyen-Haut
sezane-octobre,0,0,milieu de gamme,Moyen-Haut
shein,3000,6382095,ultra fast fashion / discount,
shiatzychen,0,0,luxe & création,
simoneperele,3,0,premium / luxe abordable,Haut
skechers,39,0,entrée de gamme / mass market,Moyen
slipfrancais,0,0,milieu de gamme,Moyen-Haut
leslipfrancais,39,0,milieu de gamme,Moyen-Haut
soeur,328,0,milieu de gamme,Moyen-Haut
soniarykiel,2424,0,luxe & création,Luxe
spartoo,0,0,entrée de gamme / mass market,Moyen
sport2000,0,0,entrée de gamme / mass market,Moyen
stellamccartney,306,0,luxe & création,
stokomani,0,0,ultra fast fashion / discount,Discount
stradivarius,3000,5972823,milieu de gamme,Moyen-Haut
sudexpress,3000,257582,entrée de gamme / mass market,Moyen
superdry,3000,1510197,entrée de gamme / mass market,Moyen
sym,936,0,entrée de gamme / mass market,Moyen
tallyweijl,3000,1595778,entrée de gamme / mass market,Moyen-Bas
tamaris,20,0,entrée de gamme / mass market,Moyen-Bas
tanneur(le),0,0,milieu de gamme,Moyen-Haut
letanneur,5,0,milieu de gamme,Moyen-Haut
tapeal'oeil,1512,0,entrée de gamme / mass market,Bas
tarajarmon,472,0,premium / luxe abordable,Haut
tati,888,0,ultra fast fashion / discount,Discount
tbs,2544,0,milieu de gamme,Moyen-Haut
letempsdescerises,3000,603857,entrée de gamme / mass market,Moyen
tempsdescerises,0,0,entrée de gamme / mass market,Moyen
territoired'homme,0,0,milieu de gamme,Moyen-Haut
texto,369,0,entrée de gamme / mass market,Moyen-Bas
thekooples,3000,320473,premium / luxe abordable,Haut
thombrowne,24,0,luxe & création,
tod'sfrance,0,0,luxe & création,Luxe
tommyhilfiger,3000,3954048,milieu de gamme,Moyen-Haut
toscane,1176,0,entrée de gamme / mass market,Moyen-Bas
triumph,164,0,entrée de gamme / mass market,Moyen
tsumorichisato,31,0,luxe & création,
unjourailleurs,3000,138930,milieu de gamme,Moyen-Haut
undercover,89,0,luxe & création,
undiz,3000,900391,entrée de gamme / mass market,Bas
uniqlo,3000,326728,entrée de gamme / mass market,Moyen
valege,18,0,entrée de gamme / mass market,Bas
valentinyudashkin,0,0,luxe & création,
valentino,744,0,luxe & création,
vans,3000,1705069,entrée de gamme / mass market,Moyen
veroniqueleroy,2,0,luxe & création,
vertbaudet,0,0,entrée de gamme / mass market,Moyen
victoriatomas,0,0,luxe & création,
vieuxcampeur,0,0,milieu de gamme,Moyen-Haut
auvieuxcampeur,0,0,milieu de gamme,Moyen-Haut
vilebrequin,64,0,premium / luxe abordable,Haut
viviennewestwood,165,0,luxe & création,
weill,452,0,premium / luxe abordable,Haut
wolford,129,0,premium / luxe abordable,Haut
wooyoungmi,7,0,luxe & création,
xando,0,0,entrée de gamme / mass market,Moyen
y/project,8,0,luxe & création,
yangli,1,0,luxe & création,
yogasearcher,0,0,milieu de gamme,Moyen-Haut
yohjiyamamoto,28,0,luxe & création,
yse,4,0,milieu de gamme,Moyen-Haut
yvessaintlaurent,412,0,luxe & création,
z,62,0,entrée de gamme / mass market,Bas
zadig&voltaire,3000,261117,premium / luxe abordable,Haut
zapa,792,0,premium / luxe abordable,Haut
zara,3000,36665314,entrée de gamme / mass market,Moyen
zeeman,3000,676387,ultra fast fashion / discount,Discount
