N°Obs,incidence,global_incidence,Segment de marché,Niveau de prix
kenzo,3000,422077,premium / luxe abordable,Haut
khaan,343,0,entrée de gamme / mass market,Bas
kiabi,3000,17936022,entrée de gamme / mass market,Bas
kiwi,12,0,premium / luxe abordable,Haut
koche,1,0,luxe & création,
kookai,3000,812799,entrée de gamme / mass market,Moyen-Bas
lacoste,493,0,premium / luxe abordable,Haut
eider,1,0,milieu de gamme,Moyen-Haut
millet,2,0,milieu de gamme,Moyen-Haut
lafuma,5,0,milieu de gamme,Moyen-Haut
lancel,10,0,premium / luxe abordable,Haut
lanvin,437,0,luxe & création,
laurencetavernier,0,0,premium / luxe abordable,Haut
lebourget,1,0,premium / luxe abordable,Haut
lemaire,13,0,luxe & création,
leonard,7,0,luxe & création,Luxe
levi's,256,0,milieu de gamme,Moyen-Haut
levis,0,0,milieu de gamme,Moyen-Haut
levi'sstore,0,0,milieu de gamme,Moyen-Haut
ligne's,0,0,entrée de gamme / mass market,Moyen
liujo,3000,539090,milieu de gamme,Moyen-Haut
livy,0,0,premium / luxe abordable,Haut
loavies,936,0,entrée de gamme / mass market,
loding,1,0,milieu de gamme,Moyen-Haut
loewe,154,0,luxe & création,
lole,5,0,entrée de gamme / mass market,Moyen
lollipops,9,0,milieu de gamme,Moyen-Haut
longchamp,76,0,premium / luxe abordable,Haut
louboutin,0,0,luxe & création,Luxe
louisvuitton,137,0,luxe & création,Luxe
lpbwoman,108,0,entrée de gamme / mass market,Moyen
lucienpellat-finet,3,0,luxe & création,
lutzpolux,0,0,luxe & création,
madoetlesautres,238,0,milieu de gamme,Moyen-Haut
maison123,816,0,entrée de gamme / mass market,Moyen
maisonlejaby,2,0,premium / luxe abordable,Haut
maisonmargiela,40,0,luxe & création,
maisonrabihkayrouz,2,0,luxe & création,
maje,3000,697996,premium / luxe abordable,Haut
majesticfilatures,90,0,milieu de gamme,Moyen-Haut
manfield-fairmount,0,0,milieu de gamme,Moyen-Haut
mango,3000,7137473,entrée de gamme / mass market,Moyen-Bas
manisharorathreeclothing,0,0,luxe & création,
marinarinaldi-persona,0,0,premium / luxe abordable,Haut
marineserre,2,0,luxe & création,
massimodutti,3000,727502,milieu de gamme,Moyen-Haut
maxmara,3000,124552,premium / luxe abordable,Haut
mellowyellow,5,0,milieu de gamme,Moyen-Haut
mephistoshop,0,0,milieu de gamme,Moyen-Haut
michaelkors,552,0,premium / luxe abordable,Haut
miharayasuhiro,0,0,luxe & création,
minelli,7,0,milieu de gamme,Moyen-Haut
miseaugreen,147,0,milieu de gamme,Moyen-Haut
missguided,2112,0,ultra fast fashion / discount,
mistigriff,0,0,ultra fast fashion / discount,Discount
miumiu,157,0,luxe & création,Luxe
morgan,3000,1362574,entrée de gamme / mass market,Moyen
msmode,0,0,entrée de gamme / mass market,Moyen-Bas
mugler,85,0,luxe & création,
nafnaf,3000,2107595,entrée de gamme / mass market,Moyen-Bas
napapijri,134,0,milieu de gamme,Moyen-Haut
nastygal,431,0,ultra fast fashion / discount,
newlook,3000,3146534,entrée de gamme / mass market,Bas
newyorker,2544,0,entrée de gamme / mass market,Bas
newco(exstyleco),0,0,entrée de gamme / mass market,Bas
nicethings,278,0,entrée de gamme / mass market,Moyen
converse,15,0,milieu de gamme,Moyen-Haut
nike,120,0,milieu de gamme,Moyen-Haut
ninaricci,142,0,luxe & création,
novmod(exdefi-mode),0,0,ultra fast fashion / discount,Discount
oamc,0,0,luxe & création,
odlo,4,0,milieu de gamme,Moyen-Haut
officinegenerale,24,0,luxe & création,
okaidi,77,0,entrée de gamme / mass market,Moyen
olivergrant,528,0,milieu de gamme,Moyen-Haut
ollygan,0,0,entrée de gamme / mass market,Moyen
onestep,3000,177418,entrée de gamme / mass market,Moyen
orcanta,0,0,milieu de gamme,Moyen-Haut
orchestra,80,0,entrée de gamme / mass market,Bas
oxbow,96,0,entrée de gamme / mass market,Moyen
oysho,69,0,entrée de gamme / mass market,Moyen-Bas
pablo,493,0,premium / luxe abordable,Haut
pacorabanne,130,0,luxe & création,
paindesucre,3,0,premium / luxe abordable,Haut
pantashop(gpmtd'independants),0,0,entrée de gamme / mass market,Moyen-Bas
parfois,109,0,entrée de gamme / mass market,Moyen-Bas
passionata,1,0,entrée de gamme / mass market,Moyen-Bas
patou,0,0,luxe & création,
paulsmith,1200,0,premium / luxe abordable,Haut
pauleka,358,0,luxe & création,
pepejeans,1464,0,premium / luxe abordable,Haut
petitbateau,99,0,entrée de gamme / mass market,Moyen
petites(les),0,0,milieu de gamme,Moyen-haut
lespetites,720,0,milieu de gamme,Moyen-haut
phildar,1368,0,entrée de gamme / mass market,Moyen-Bas
pierrecardin,1848,0,luxe & création,
pimkie,3000,5054540,entrée de gamme / mass market,Bas
pinko,3000,198428,milieu de gamme,Moyen-Haut
pointmariage,26,0,entrée de gamme / mass market,Moyen-Bas
moncler,89,0,luxe & création,Luxe
prada,744,0,luxe & création,Luxe
prettylittlething,3000,1153981,ultra fast fashion / discount,
primark,3000,8904347,ultra fast fashion / discount,Discount
princessetam.tam,19,0,milieu de gamme,Moyen-Haut
promise,66,0,entrée de gamme / mass market,Moyen
promod,3000,3783716,entrée de gamme / mass market,Bas
pronuptiaparis,0,0,milieu de gamme,Moyen-Haut
pull&bear,3000,4874344,entrée de gamme / mass market,Bas
pullin,28,0,premium / luxe abordable,Haut
puntroma,696,0,milieu de gamme,Moyen-Haut
quiksilver-billabong-roxy,0,0,milieu de gamme,Moyen-Haut
ralphlauren,3000,3853950,premium / luxe abordable,Haut
poloralphlauren,270,0,premium / luxe abordable,Haut
repetto,4,0,premium / luxe abordable,Haut
rickowens,22,0,luxe & création,
riuparis,8,0,entrée de gamme / mass market,Moyen-Bas
rochas,127,0,luxe & création,
rougegorge,2,0,entrée de gamme / mass market,Moyen-Bas
rougegorgelingerie,0,0,entrée de gamme / mass market,Moyen-Bas
s2sneakers,0,0,entrée de gamme / mass market,Moyen
sacai,2,0,luxe & création,
saintjames,90,0,premium / luxe abordable,Haut
saintlaurent,441,0,luxe & création,Luxe
salamander,0,0,milieu de gamme,Moyen-Haut
salvatoreferragamo,127,0,luxe & création,Luxe
sanmarina,19,0,entrée de gamme / mass market,Moyen
sandro,3000,734120,premium / luxe abordable,Haut
scotch&soda,2400,0,milieu de gamme,Moyen-Haut
scottage,672,0,entrée de gamme / mass market,Moyen
sergeblanco,253,0,milieu de gamme,Moyen-Haut
sergentmajor,17,0,milieu de gamme,Moyen-Haut
sezane-octobre,0,0,milieu de gamme,Moyen-Haut
shein,3000,6382095,ultra fast fashion / discount,
shiatzychen,0,0,luxe & création,
simoneperele,2,0,premium / luxe abordable,Haut
skechers,0,0,entrée de gamme / mass market,Moyen
slipfrancais,0,0,milieu de gamme,Moyen-Haut
leslipfrancais,0,0,milieu de gamme,Moyen-Haut
soeur,166,0,milieu de gamme,Moyen-Haut
soniarykiel,744,0,luxe & création,Luxe
spartoo,0,0,entrée de gamme / mass market,Moyen
sport2000,0,0,entrée de gamme / mass market,Moyen
stellamccartney,145,0,luxe & création,
stokomani,0,0,ultra fast fashion / discount,Discount
stradivarius,3000,5972823,milieu de gamme,Moyen-Haut
sudexpress,552,0,entrée de gamme / mass market,Moyen
superdry,319,0,entrée de gamme / mass market,Moyen
sym,696,0,entrée de gamme / mass market,Moyen
tallyweijl,3000,1595778,entrée de gamme / mass market,Moyen-Bas
tamaris,3,0,entrée de gamme / mass market,Moyen-Bas
tanneur(le),0,0,milieu de gamme,Moyen-Haut
letanneur,1,0,milieu de gamme,Moyen-Haut
tapeal'oeil,71,0,entrée de gamme / mass market,Bas
tarajarmon,1728,0,premium / luxe abordable,Haut
tati,80,0,ultra fast fashion / discount,Discount
tbs,114,0,milieu de gamme,Moyen-Haut
letempsdescerises,2544,0,entrée de gamme / mass market,Moyen
tempsdescerises,0,0,entrée de gamme / mass market,Moyen
territoired'homme,0,0,milieu de gamme,Moyen-Haut
texto,58,0,entrée de gamme / mass market,Moyen-Bas
thekooples,3000,320473,premium / luxe abordable,Haut
thombrowne,13,0,luxe & création,
tod'sfrance,0,0,luxe & création,Luxe
tommyhilfiger,3000,3954048,milieu de gamme,Moyen-Haut
toscane,126,0,entrée de gamme / mass market,Moyen-Bas
triumph,3,0,entrée de gamme / mass market,Moyen
tsumorichisato,6,0,luxe & création,
unjourailleurs,3000,138930,milieu de gamme,Moyen-Haut
undercover,6,0,luxe & création,
undiz,26,0,entrée de gamme / mass market,Bas
uniqlo,1176,0,entrée de gamme / mass market,Moyen
valege,1,0,entrée de gamme / mass market,Bas
valentinyudashkin,0,0,luxe & création,
valentino,792,0,luxe & création,
vans,11,0,entrée de gamme / mass market,Moyen
veroniqueleroy,5,0,luxe & création,
vertbaudet,0,0,entrée de gamme / mass market,Moyen
victoriatomas,0,0,luxe & création,
vieuxcampeur,0,0,milieu de gamme,Moyen-Haut
auvieuxcampeur,0,0,milieu de gamme,Moyen-Haut
vilebrequin,1,0,premium / luxe abordable,Haut
viviennewestwood,120,0,luxe & création,
weill,1128,0,premium / luxe abordable,Haut
wolford,11,0,premium / luxe abordable,Haut
wooyoungmi,4,0,luxe & création,
xando,0,0,entrée de gamme / mass market,Moyen
y/project,5,0,luxe & création,
yangli,1,0,luxe & création,
yogasearcher,0,0,milieu de gamme,Moyen-Haut
yohjiyamamoto,61,0,luxe & création,
yse,1,0,milieu de gamme,Moyen-Haut
yvessaintlaurent,1560,0,luxe & création,
z,2,0,entrée de gamme / mass market,Bas
zadig&voltaire,2376,0,premium / luxe abordable,Haut
zapa,1392,0,premium / luxe abordable,Haut
zara,3000,36665314,entrée de gamme / mass market,Moyen
zeeman,269,0,ultra fast fashion / discount,Discount
